implementation,mode,key,p,repetition,time_seconds,iterations_done,found,finder_rank,timestamp,hostname,phrase,text,out_bin
impl1,encrypt,123456,0,1,0.000007453,0,0,0,2025-10-29T18:34:33Z,pc_josue,"","Esta es una prueba de proyecto 2",/mnt/d/repositorios/UVG/2025/mpi-des-bruteforce/scripts/../IO/outputs/cipher_20251029T183433Z_10378.bin
impl1,encrypt,123456,0,1,0.000011600,0,0,0,2025-10-29T18:17:22Z,laptop_josue,"","Esta es una prueba de proyecto 2",/mnt/d/UVG GitHub Repositorios/2025/mpi-des-bruteforce/scripts/../IO/outputs/cipher_20251029T181722Z_24790.bin
impl1,decrypt,123456,1,1,0.044451413,123457,1,0,2025-10-29T18:34:37Z,pc_josue,"es una prueba de","",/mnt/d/repositorios/UVG/2025/mpi-des-bruteforce/scripts/../IO/outputs/cipher_20251029T183433Z_10378.bin
impl1,decrypt,18014398509481983,1,1,0.044884759,123457,1,0,2025-10-29T18:34:40Z,pc_josue,"es una prueba de","",/mnt/d/repositorios/UVG/2025/mpi-des-bruteforce/scripts/../IO/outputs/cipher_20251029T183433Z_10378.bin
impl1,decrypt,18014398509481984,1,1,0.044421317,123457,1,0,2025-10-29T18:34:42Z,pc_josue,"es una prueba de","",/mnt/d/repositorios/UVG/2025/mpi-des-bruteforce/scripts/../IO/outputs/cipher_20251029T183433Z_10378.bin
impl1,decrypt,123456,1,1,0.206254093,123457,1,0,2025-10-29T18:17:33Z,laptop_josue,"es una prueba de","",/mnt/d/UVG GitHub Repositorios/2025/mpi-des-bruteforce/scripts/../IO/outputs/cipher_20251029T181722Z_24790.bin
impl1,decrypt,18014398509481983,1,1,0.130562093,123457,1,0,2025-10-29T18:17:41Z,laptop_josue,"es una prueba de","",/mnt/d/UVG GitHub Repositorios/2025/mpi-des-bruteforce/scripts/../IO/outputs/cipher_20251029T181722Z_24790.bin
impl1,decrypt,18014398509481984,1,1,0.092060293,123457,1,0,2025-10-29T18:17:50Z,laptop_josue,"es una prueba de","",/mnt/d/UVG GitHub Repositorios/2025/mpi-des-bruteforce/scripts/../IO/outputs/cipher_20251029T181722Z_24790.bin
